work_order,site_name,site_address,site_city,site_state,latitude,longitude,jp_status,jp_priority,due_date,sow_1,flag_missing_due_date,flag_past_due,flag_estimated_time,tank_test_only,is_recurring_site,night_test,days_til_due,tech_count,zone_3,region,duration,cluster_id,created_at,updated_at
900001,Test Site,,Salt Lake,UT,,,scheduled,Monthly O&M,2025-08-02,,,,,,,False,,,SLC-N,Utah,2.0,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:37:33.792856+00:00
67013,Maverik 480,1206 Main St,Fort Morgan,CO,40.261616,-103.800595,unscheduled,Annual,2025-09-04,"ACI, MOI",False,False,False,False,False,False,45.0,11.0,"40.0,-104.0",CO - Northeast,2.5,,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
100002,Fuel King #7,455 Elm St,Aurora,CO,39.73,-104.83,open,Monthly O&M,2025-08-05,,,,,,True,False,,,,,2.5,,2025-07-31T22:58:31.082232+00:00,2025-07-31T22:58:31.082232+00:00
100003,Pilot Travel,7000 I‑70,Limon,CO,39.27,-103.69,open,Annual,2025-09-15,,,,,,False,False,,,,,4.0,,2025-07-31T22:58:31.082232+00:00,2025-07-31T22:58:31.082232+00:00
100004,Valero Market,890 State St,Cheyenne,WY,41.14,-104.82,open,Monthly O&M,2025-08-07,,,,,,True,False,,,,,2.0,,2025-07-31T22:58:31.082232+00:00,2025-07-31T22:58:31.082232+00:00
100005,EZ Fuel,12 6th Ave,Laramie,WY,41.31,-105.59,open,Annual,2025-09-10,,,,,,False,False,,,,,3.5,,2025-07-31T22:58:31.082232+00:00,2025-07-31T22:58:31.082232+00:00
100006,Love’s #251,I‑80 Exit 310,Rawlins,WY,41.79,-107.24,open,Monthly O&M,2025-08-10,,,,,,True,False,,,,,2.0,,2025-07-31T22:58:31.082232+00:00,2025-07-31T22:58:31.082232+00:00
100007,Gas‑N‑Go,501 Oak St,Ogden,UT,41.22,-111.97,open,Monthly O&M,2025-08-06,,,,,,True,False,,,,,2.5,,2025-07-31T22:58:31.082232+00:00,2025-07-31T22:58:31.082232+00:00
100008,Shell #81,900 Airport Rd,Provo,UT,40.23,-111.66,open,Monthly O&M,2025-08-06,,,,,,True,False,,,,,2.0,,2025-07-31T22:58:31.082232+00:00,2025-07-31T22:58:31.082232+00:00
100009,Night Test Site,45 Canyon Rd,Grand Jct.,CO,39.07,-108.55,open,Annual,2025-09-20,,,,,,False,True,,,,,5.0,,2025-07-31T22:58:31.082232+00:00,2025-07-31T22:58:31.082232+00:00
